,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
bitcoin,1881.0,0.0016493152981112695,0.030754948584292386,-0.1584584813408395,-0.0123728021513163,0.0003895772797928,0.0147262524131799,0.1924695070297788,0.1531355983526788,3.670460563426272
ethereum,1881.0,0.0020309393632796657,0.04114595520299735,-0.2630248225767148,-0.0181736189780539,0.0013134849236462,0.021690884304204,0.2453363625059248,0.17236334350491625,4.448949194559151
binancecoin,1881.0,0.002880903110166714,0.04420625711953634,-0.3188359457999171,-0.0141284216547323,0.0015939535353994,0.01777597781687,0.7378630795941072,2.94645560996845,48.304639354943944
solana,1881.0,0.003934618147861534,0.061080666025011596,-0.4219908327654194,-0.0291854332283975,7.4274183230471635e-06,0.0327718837469468,0.3701057819415179,0.48849290610877477,5.5615286084266655
cardano,1881.0,0.0022805753322675403,0.052305403447062214,-0.2473181426620221,-0.024268292812836,5.232304652325048e-05,0.0228635649215835,0.7293163615396334,1.957233775283218,22.908218415618222
xrp,1881.0,0.0027323897973854957,0.05693796140704686,-0.4227895126289926,-0.0194755040696613,0.0007088363609102,0.0205896017690285,0.7236973235911186,2.4365141435554527,27.050666109762624
polkadot,1881.0,0.0011604865756059304,0.05231808719693484,-0.3735994230478963,-0.0265956491798496,-0.0004560639237313,0.0252477109722912,0.3854945384046486,0.6043451673773877,7.3995346841175715
dogecoin,1881.0,0.005351632362235238,0.10441401685160098,-0.3977437961754679,-0.0257785020403363,-0.0003216121612076,0.0243549356556871,3.3890106754849256,19.289500811458876,596.2490263478758
avalanche,1881.0,0.0025053223926175127,0.0632758526557696,-0.3500570331831371,-0.0298945554783497,0.0004329621059475,0.0312292429989948,0.7569799842092686,1.3817562805662358,14.797809119462467
litecoin,1881.0,0.0015195419256558164,0.04589294181314487,-0.3545961329190926,-0.0204769391565637,0.0013752562009314,0.0222316163932112,0.2734867671319265,-0.09243919145528162,5.4180743047436914
