snapped_at,rolling_volatility
2021-01-14 00:00:00+00:00,0.05199919231761934
2021-01-15 00:00:00+00:00,0.04975906146468853
2021-01-16 00:00:00+00:00,0.051927472895776636
2021-01-17 00:00:00+00:00,0.05376869427150856
2021-01-18 00:00:00+00:00,0.05338685650713474
2021-01-19 00:00:00+00:00,0.05343983260192825
2021-01-20 00:00:00+00:00,0.0540763513294244
2021-01-21 00:00:00+00:00,0.05324967571882753
2021-01-22 00:00:00+00:00,0.06429154981187
2021-01-23 00:00:00+00:00,0.06507032497576576
2021-01-24 00:00:00+00:00,0.06184304356683253
2021-01-25 00:00:00+00:00,0.059827890170643466
2021-01-26 00:00:00+00:00,0.06038580279161822
2021-01-27 00:00:00+00:00,0.05969886709927745
2021-01-28 00:00:00+00:00,0.06147208054618819
2021-01-29 00:00:00+00:00,0.10532838307780272
2021-01-30 00:00:00+00:00,0.10517745757571444
2021-01-31 00:00:00+00:00,0.10491281369987465
2021-02-01 00:00:00+00:00,0.10398292369668635
2021-02-02 00:00:00+00:00,0.0997808479919827
2021-02-03 00:00:00+00:00,0.09971571851179538
2021-02-04 00:00:00+00:00,0.09972126163469511
2021-02-05 00:00:00+00:00,0.09976828970735342
2021-02-06 00:00:00+00:00,0.09885591426183529
2021-02-07 00:00:00+00:00,0.09763756142224196
2021-02-08 00:00:00+00:00,0.09758902973177384
2021-02-09 00:00:00+00:00,0.09924568068219872
2021-02-10 00:00:00+00:00,0.09862000695138333
2021-02-11 00:00:00+00:00,0.1007224007840822
2021-02-12 00:00:00+00:00,0.09242867571452242
2021-02-13 00:00:00+00:00,0.09235899559566223
2021-02-14 00:00:00+00:00,0.09304336147333235
2021-02-15 00:00:00+00:00,0.09486705788127754
2021-02-16 00:00:00+00:00,0.09502656008629072
2021-02-17 00:00:00+00:00,0.0953725627912455
2021-02-18 00:00:00+00:00,0.09059933621812864
2021-02-19 00:00:00+00:00,0.04640407096238686
2021-02-20 00:00:00+00:00,0.04951235552376697
2021-02-21 00:00:00+00:00,0.051892381901488
2021-02-22 00:00:00+00:00,0.05193058199878241
2021-02-23 00:00:00+00:00,0.0532489144475228
2021-02-24 00:00:00+00:00,0.0634811518521804
2021-02-25 00:00:00+00:00,0.06260334360850633
2021-02-26 00:00:00+00:00,0.06718915822340418
2021-02-27 00:00:00+00:00,0.06641160994841845
2021-02-28 00:00:00+00:00,0.06637057643974681
2021-03-01 00:00:00+00:00,0.06749341153875342
2021-03-02 00:00:00+00:00,0.0652608921867207
2021-03-03 00:00:00+00:00,0.06562906834574747
2021-03-04 00:00:00+00:00,0.05795927520383496
2021-03-05 00:00:00+00:00,0.05867246661093319
2021-03-06 00:00:00+00:00,0.05783575303857951
2021-03-07 00:00:00+00:00,0.0577947780955003
2021-03-08 00:00:00+00:00,0.05764231069790105
2021-03-09 00:00:00+00:00,0.057256402051890816
2021-03-10 00:00:00+00:00,0.05974483216324942
2021-03-11 00:00:00+00:00,0.06025495996253603
2021-03-12 00:00:00+00:00,0.059100743978032486
2021-03-13 00:00:00+00:00,0.053332067368945545
2021-03-14 00:00:00+00:00,0.054885568614407666
2021-03-15 00:00:00+00:00,0.05516963110830924
2021-03-16 00:00:00+00:00,0.05575525677407207
2021-03-17 00:00:00+00:00,0.0500320650532169
2021-03-18 00:00:00+00:00,0.04803945793667121
2021-03-19 00:00:00+00:00,0.04422230490427243
2021-03-20 00:00:00+00:00,0.04441055750541158
2021-03-21 00:00:00+00:00,0.04438699619070372
2021-03-22 00:00:00+00:00,0.042978773241633475
2021-03-23 00:00:00+00:00,0.038447293467656254
2021-03-24 00:00:00+00:00,0.03800260370157605
2021-03-25 00:00:00+00:00,0.04046864102184746
2021-03-26 00:00:00+00:00,0.03979814677823115
2021-03-27 00:00:00+00:00,0.044132154494091524
2021-03-28 00:00:00+00:00,0.0441225199902204
2021-03-29 00:00:00+00:00,0.04346002567824847
2021-03-30 00:00:00+00:00,0.043915431664601934
2021-03-31 00:00:00+00:00,0.039606258043606846
2021-04-01 00:00:00+00:00,0.0384474229130091
2021-04-02 00:00:00+00:00,0.038667710077067846
2021-04-03 00:00:00+00:00,0.037851570254672603
2021-04-04 00:00:00+00:00,0.035730033771879464
2021-04-05 00:00:00+00:00,0.03553821460271563
2021-04-06 00:00:00+00:00,0.036198965284830034
2021-04-07 00:00:00+00:00,0.0365790267118876
2021-04-08 00:00:00+00:00,0.03991311604741135
2021-04-09 00:00:00+00:00,0.04034203433113376
2021-04-10 00:00:00+00:00,0.040200341488948764
2021-04-11 00:00:00+00:00,0.04164545228311337
2021-04-12 00:00:00+00:00,0.04111372768224256
2021-04-13 00:00:00+00:00,0.03946915298735207
2021-04-14 00:00:00+00:00,0.040811102065594504
2021-04-15 00:00:00+00:00,0.0357511332373144
2021-04-16 00:00:00+00:00,0.03490568128530834
2021-04-17 00:00:00+00:00,0.03342993310771206
2021-04-18 00:00:00+00:00,0.03644853467982583
2021-04-19 00:00:00+00:00,0.03834993344389728
2021-04-20 00:00:00+00:00,0.039046921104359394
2021-04-21 00:00:00+00:00,0.03904897732468846
2021-04-22 00:00:00+00:00,0.040639934989200974
2021-04-23 00:00:00+00:00,0.04225854961481135
2021-04-24 00:00:00+00:00,0.043276934480348604
2021-04-25 00:00:00+00:00,0.044081621485708676
2021-04-26 00:00:00+00:00,0.043577837098858166
2021-04-27 00:00:00+00:00,0.04742399450740453
2021-04-28 00:00:00+00:00,0.0467711440446902
2021-04-29 00:00:00+00:00,0.0430397846914898
2021-04-30 00:00:00+00:00,0.042656859546838795
2021-05-01 00:00:00+00:00,0.043738769366110715
2021-05-02 00:00:00+00:00,0.04286761481426218
2021-05-03 00:00:00+00:00,0.04382384275316532
2021-05-04 00:00:00+00:00,0.04519908801075567
2021-05-05 00:00:00+00:00,0.04495857399949167
2021-05-06 00:00:00+00:00,0.05120047899337744
2021-05-07 00:00:00+00:00,0.050499287359680456
2021-05-08 00:00:00+00:00,0.04892208006514154
2021-05-09 00:00:00+00:00,0.04760963073234252
2021-05-10 00:00:00+00:00,0.046601174002415605
2021-05-11 00:00:00+00:00,0.05031326183061326
2021-05-12 00:00:00+00:00,0.05113702819463687
2021-05-13 00:00:00+00:00,0.057277526878460265
2021-05-14 00:00:00+00:00,0.05712511618144043
2021-05-15 00:00:00+00:00,0.05753509353630716
2021-05-16 00:00:00+00:00,0.058062936784762445
2021-05-17 00:00:00+00:00,0.05803107123038434
2021-05-18 00:00:00+00:00,0.05616271431192385
2021-05-19 00:00:00+00:00,0.05650592439736045
2021-05-20 00:00:00+00:00,0.08862586281611882
2021-05-21 00:00:00+00:00,0.09316525992170444
2021-05-22 00:00:00+00:00,0.09670724182207237
2021-05-23 00:00:00+00:00,0.09705357876117175
2021-05-24 00:00:00+00:00,0.10039094269660201
2021-05-25 00:00:00+00:00,0.11221046730392273
2021-05-26 00:00:00+00:00,0.1119782750666975
2021-05-27 00:00:00+00:00,0.10986221429306142
2021-05-28 00:00:00+00:00,0.11012302554064642
2021-05-29 00:00:00+00:00,0.1114714392265694
2021-05-30 00:00:00+00:00,0.11152117340749958
2021-05-31 00:00:00+00:00,0.1122375227711429
2021-06-01 00:00:00+00:00,0.11484566003433028
