snapped_at,,bitcoin,ethereum,binancecoin,solana,cardano,xrp,polkadot,dogecoin,avalanche,litecoin
2020-10-01 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-01 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-01 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-01 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-02 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-02 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-02 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-02 00:00:00+00:00,solana,,,,,,,,,,
2020-10-02 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-02 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-02 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-02 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-02 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-02 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-03 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-03 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-03 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-03 00:00:00+00:00,solana,,,,,,,,,,
2020-10-03 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-03 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-03 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-03 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-03 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-03 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-04 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-04 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-04 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-04 00:00:00+00:00,solana,,,,,,,,,,
2020-10-04 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-04 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-04 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-04 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-04 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-04 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-05 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-05 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-05 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-05 00:00:00+00:00,solana,,,,,,,,,,
2020-10-05 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-05 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-05 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-05 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-05 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-05 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-06 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-06 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-06 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-06 00:00:00+00:00,solana,,,,,,,,,,
2020-10-06 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-06 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-06 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-06 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-06 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-06 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-07 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-07 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-07 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-07 00:00:00+00:00,solana,,,,,,,,,,
2020-10-07 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-07 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-07 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-07 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-07 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-07 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-08 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-08 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-08 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-08 00:00:00+00:00,solana,,,,,,,,,,
2020-10-08 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-08 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-08 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-08 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-08 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-08 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-09 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-09 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-09 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-09 00:00:00+00:00,solana,,,,,,,,,,
2020-10-09 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-09 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-09 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-09 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-09 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-09 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-10 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-10 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-10 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-10 00:00:00+00:00,solana,,,,,,,,,,
2020-10-10 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-10 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-10 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-10 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-10 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-10 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-11 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-11 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-11 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-11 00:00:00+00:00,solana,,,,,,,,,,
2020-10-11 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-11 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-11 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-11 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-11 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-11 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-12 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-12 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-12 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-12 00:00:00+00:00,solana,,,,,,,,,,
2020-10-12 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-12 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-12 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-12 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-12 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-12 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-13 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-10-13 00:00:00+00:00,ethereum,,,,,,,,,,
2020-10-13 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-10-13 00:00:00+00:00,solana,,,,,,,,,,
2020-10-13 00:00:00+00:00,cardano,,,,,,,,,,
2020-10-13 00:00:00+00:00,xrp,,,,,,,,,,
2020-10-13 00:00:00+00:00,polkadot,,,,,,,,,,
2020-10-13 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-10-13 00:00:00+00:00,avalanche,,,,,,,,,,
2020-10-13 00:00:00+00:00,litecoin,,,,,,,,,,
2020-10-14 00:00:00+00:00,bitcoin,,,,,,,,,,
