snapped_at,,bitcoin,ethereum,binancecoin,solana,cardano,xrp,polkadot,dogecoin,avalanche,litecoin
2020-09-23 00:00:00+00:00,bitcoin,,,,,,,,,,
2020-09-23 00:00:00+00:00,ethereum,,,,,,,,,,
2020-09-23 00:00:00+00:00,binancecoin,,,,,,,,,,
2020-09-23 00:00:00+00:00,solana,,,,,,,,,,
2020-09-23 00:00:00+00:00,cardano,,,,,,,,,,
2020-09-23 00:00:00+00:00,xrp,,,,,,,,,,
2020-09-23 00:00:00+00:00,polkadot,,,,,,,,,,
2020-09-23 00:00:00+00:00,dogecoin,,,,,,,,,,
2020-09-23 00:00:00+00:00,avalanche,,,,,,,,,,
2020-09-23 00:00:00+00:00,litecoin,,,,,,,,,,
2020-09-24 00:00:00+00:00,bitcoin,1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,1.0,1.0000000000000002,1.0,1.0
2020-09-24 00:00:00+00:00,ethereum,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0
2020-09-24 00:00:00+00:00,binancecoin,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0
2020-09-24 00:00:00+00:00,solana,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999998,0.9999999999999999
2020-09-24 00:00:00+00:00,cardano,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998
2020-09-24 00:00:00+00:00,xrp,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
2020-09-24 00:00:00+00:00,polkadot,1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0,1.0
2020-09-24 00:00:00+00:00,dogecoin,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002
2020-09-24 00:00:00+00:00,avalanche,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002
2020-09-24 00:00:00+00:00,litecoin,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0
2020-09-25 00:00:00+00:00,bitcoin,1.0,0.9999659299812272,0.9944833535151332,0.9729271628296052,0.9983375588063192,0.9961405834866239,0.9985479314698835,0.9820804191669874,0.9987209579471925,0.9401842615384601
2020-09-25 00:00:00+00:00,ethereum,0.9999659299812272,1.0,0.9953153366189639,0.9748017583063515,0.998779324193977,0.9968311707875924,0.9980692301766543,0.983602646029116,0.9991042964607704,0.9429643032045077
2020-09-25 00:00:00+00:00,binancecoin,0.9944833535151332,0.9953153366189639,1.0,0.9918022444014621,0.9988759750278159,0.9998520378699952,0.9873885776399113,0.9964312937770856,0.9985149738147157,0.970731628210615
2020-09-25 00:00:00+00:00,solana,0.9729271628296052,0.9748017583063515,0.9918022444014621,1.0,0.9846305186747628,0.9894574085631386,0.9590642940798106,0.999048613737125,0.9833680760570551,0.9934628697284186
2020-09-25 00:00:00+00:00,cardano,0.9983375588063192,0.998779324193977,0.9988759750278159,0.9846305186747628,1.0,0.9995435499533644,0.9937829270776823,0.9913103267712773,0.9999748881283175,0.9582565267349407
2020-09-25 00:00:00+00:00,xrp,0.9961405834866239,0.9968311707875924,0.9998520378699952,0.9894574085631386,0.9995435499533644,1.0,0.9899657950906409,0.9948318924888935,0.9993043509206828,0.9664566918242222
2020-09-25 00:00:00+00:00,polkadot,0.9985479314698835,0.9980692301766543,0.9873885776399113,0.9590642940798106,0.9937829270776823,0.9899657950906409,1.0,0.9705018149533711,0.994546983549584,0.9204671905556839
2020-09-25 00:00:00+00:00,dogecoin,0.9820804191669874,0.983602646029116,0.9964312937770856,0.999048613737125,0.9913103267712773,0.9948318924888935,0.9705018149533711,1.0,0.9903532032554019,0.9875393260342887
2020-09-25 00:00:00+00:00,avalanche,0.9987209579471925,0.9991042964607704,0.9985149738147157,0.9833680760570551,0.9999748881283175,0.9993043509206828,0.994546983549584,0.9903532032554019,1.0,0.9562062697250937
2020-09-25 00:00:00+00:00,litecoin,0.9401842615384601,0.9429643032045077,0.970731628210615,0.9934628697284186,0.9582565267349407,0.9664566918242222,0.9204671905556839,0.9875393260342887,0.9562062697250937,1.0
2020-09-26 00:00:00+00:00,bitcoin,1.0,0.9802829712476178,0.9884628931511238,0.9740056244366132,0.36976699029193677,0.8280655297321846,0.9982720545570836,0.8272363404055403,0.9574000399121587,0.880238526445444
2020-09-26 00:00:00+00:00,ethereum,0.9802829712476178,1.0,0.9915271992088989,0.9588832194672618,0.5460661782494407,0.9219093380901018,0.983231270817778,0.9176391333637733,0.9950722569986811,0.9314785461916676
2020-09-26 00:00:00+00:00,binancecoin,0.9884628931511238,0.9915271992088989,1.0,0.9875862998420505,0.47093633878065533,0.8879966945181512,0.9840736879980541,0.8947662686955203,0.9828557412765808,0.9419183204520444
2020-09-26 00:00:00+00:00,solana,0.9740056244366132,0.9588832194672618,0.9875862998420505,1.0,0.37796193971582803,0.8313043159344717,0.9606580092698221,0.8518543587702154,0.9471174461076287,0.9375099099350099
